gene_name,HH001_A1_SA_S1
AC027369.5,0.0
AC004707.1,3.0
AC005237.2,0.0
AC008750.3,5.3
AL138895.2,0.0
LINC01078,1.0
AL136317.1,0.0
HSPA8P5,1.0
ERCC6,440.067
NTHL1,6.0
PPP1R12BP2,0.0
AL583805.2,9.201
USP9YP15,0.0
LINC02553,1.0
HNRNPCP7,0.0
AC087878.1,0.0
TSPAN17,96.0
AC048380.1,0.0
RN7SL581P,3.0
PIK3CD-AS1,17.0
SLC36A2,155.893
RANP1,0.0
AC103843.2,0.0
ABCA17P,9.724
SLC6A19,9.0
TRAV1-2,6.0
AC022960.3,0.0
APOBEC3B-AS1,15.245
SNORA79,92.0
RNF144B,2295.02
AC010624.1,3.0
PPP1R12A,2210.9190000000003
EPG5,789.124
AC007099.2,0.0
ANKH,137.417
AC011410.1,0.0
AC136443.2,0.0
SURF2,9.0
SNORD115-41,0.0
AL449423.1,0.0
EIF1AX-AS1,0.0
RNF146,481.0
ZSWIM5,11.0
AL355312.1,2.0
BOLA2B,0.0
EPB41,1158.757
NCL,186.15900000000002
SLC25A25,59.0
AC006455.6,0.0
COPS5P1,0.0
EFCAB14,420.877
RNU6-641P,0.0
AC060766.6,1.0
CFAP45,18.0
MIR3125,0.0
AC034244.2,0.0
USP17L15,0.0
AL445430.2,2.0269999999999997
SMIM24,0.0
AC027807.1,0.0
AC090515.1,2.046
AL050327.1,0.0
AC104685.1,1.0
AMZ2P2,0.0
AL022393.1,7.0
ALPI,0.0
SKP1P1,3.034
DIAPH2-AS1,9.948
FGF20,0.0
AL080243.1,0.0
AL354949.1,0.0
TDRKH-AS1,49.223
AC114956.1,5.0
RN7SL508P,3.0
HMGB1P1,0.0
RNU2-33P,4.008
SPANXN4,1.0
RPL23AP63,0.0
RNU6-255P,2.0
SFTA1P,0.0
TLCD1,1.011
PDLIM1,40.00000000000001
EIF3FP3,0.0
SMIM30,32.0
EMX2OS,83.851
MRPL23-AS1,0.0
OR4A18P,0.0
LINC01696,0.0
DAAM1,97.0
RN7SL840P,1.055
GOLGA6B,0.0
PPIAL4F,0.0
KRR1P1,0.0
RPS13P2,0.0
AC069272.1,1.0
AP001830.1,1.0
AC138932.2,13.457
MAP1LC3B2,18.0
PCDHB15,2.0
DYNC1I2P1,1.217
AL355922.3,0.0
AC078785.1,41.434999999999995
RNF167,336.001
AC008735.3,1.0
AC055717.2,0.0
MIR4438,0.0
AL133351.2,0.0
MCF2L-AS1,0.0
AL139260.2,0.0
MIR490,0.0
SERTAD1,101.191
AC025040.1,0.0
GNAI2,663.996
AL358876.1,0.0
IFT22,147.82899999999998
LINC01850,0.0
ACSF2,49.083000000000006
DNTTIP2,917.083
AC019183.1,0.0
SCN7A,48.556000000000004
AC025917.1,0.0
AC009014.1,0.0
ZC2HC1B,0.0
BNIP3P9,0.0
TAF8,789.9090000000001
BX284656.2,0.0
AL133399.1,0.0
CR769775.2,0.0
LINC00523,0.0
MDS2,84.397
SNN,541.0
AC007363.1,0.0
AC073648.1,0.0
GAPDHP67,0.0
LINC01756,0.0
RN7SKP189,3.0
AC242426.3,28.877000000000002
FOXE3,0.0
AC087258.2,0.0
DCAKD,71.999
AC011445.2,32.0
KCNQ4,5.0
CDH2,1.0
RPS3AP9,0.0
EBLN2,123.0
MIR4529,0.0
AC011456.1,0.0
DNMT3L,1.0
AC093023.1,0.0
AC019072.1,0.0
STAU2-AS1,6.375
AC016708.1,31.089000000000002
TRAV22,0.0
AC242426.1,0.0
CST2,1.0
SLA,1708.9990000000003
AK3,143.483
GBAP1,41.317
AC245100.4,29.498
IGHD4-23,0.0
PNPLA8,220.98
ZNF248,87.235
OR2AT1P,0.0
BATF3,4.0
RNU6-468P,0.0
ARL4AP3,2.0
MIR4777,0.0
LINC02033,11.0
AC098848.2,0.0
AP000532.1,0.0
TLR10,603.436
SLC39A10,222.0
AL359757.1,0.0
TBC1D3H,0.0
EFNA1,2.0
AC131902.3,0.0
BCRP3,4.936
RN7SL397P,7.925
ATP5G2P4,0.0
OR2A2,0.0
SNRPEP6,0.0
PCMTD2,633.999
LIPI,1.0
CCT5P2,1.0
BTF3L4,421.56199999999995
CAMK2N2,0.0
AL133232.1,0.0
PDCD4-AS1,111.507
RHBDL1,4.0
RPL7P19,0.0
AL356599.1,81.364
CPD,2628.7810000000004
ST6GALNAC6,85.49700000000001
AC027369.2,0.0
AC105227.1,2.0
PAPD4,1388.0
AC104850.1,1.0
LSM11,74.956
PRSS44,0.0
AC027243.1,0.0
AC010542.3,5.339
AC130371.1,0.0
AC098657.1,0.0
SNORD61,713.867
TRBV5-1,7.0
PAIP1,87.999
MIR1302-7,0.0
CCDC26,6.0
AC009464.1,24.0
MVB12B,48.44199999999999
AC113167.1,0.0
AL355102.5,0.0
RNU7-147P,0.0
AC078842.1,0.0
AP003499.1,0.0
ZFP69B,19.0
CLDN20,0.0
SNORD115-40,0.0
AC099654.6,0.0
AL022345.2,0.0
AL139413.1,0.0
KCNIP2,16.0
SMCO4,32.65200000000001
NEO1,43.629999999999995
AC009264.1,43.206
FGF13-AS1,0.0
LRFN1,59.732
AC010776.1,1.0
CYP4Z1,0.0
FCGR2B,681.183
AC017091.1,43.408
RN7SL127P,38.64
Z98751.3,0.0
ELOCP30,3.0
FKBP1BP1,0.0
AF131215.3,5.0
SLC6A6,4792.001
AC083801.1,0.0
AC026367.1,2.0
LINC01052,1.0
SLFN5,445.774
FBXW7,508.0
JOSD2,13.0
AC134312.2,4.436
CICP14,1.1540000000000001
KAT2B,534.0
CYBA,1750.115
AC092580.1,0.0
IGKV3-15,246.305
N4BP2L2-IT2,496.0
HSPA8P13,0.0
MIR4659B,0.0
MIR7973-1,0.0
NPY1R,0.0
MLIP-AS1,13.261
XIRP1,0.0
HMG20A,117.232
HMGN1P24,0.0
LINC01834,0.0
LMLN-AS1,0.0
CEP78,208.444
AL627230.2,13.775
AC093722.1,0.0
RNU6-473P,0.0
DKK2,0.0
SPTAN1,408.885
LINC01706,0.0
AC009902.1,0.0
CD48,820.0
MBL3P,0.0
AC016074.1,0.0
URAD,0.0
AP001330.2,7.545
MIR1305,0.0
AC004997.1,3.784
RPL31P45,0.0
LINC00893,53.769999999999996
U91328.1,0.0
TMEM109,61.0
AL590556.2,0.0
FAM172A,448.57900000000006
NTNG2,242.864
SLMAP,978.049
LGALS2,29.0
PRELID3BP6,0.0
BNIP3P30,0.0
PHF13,76.0
DCTN3,130.50900000000001
AC093524.1,0.0
BOK,5.0
MIR6833,0.0
AC090132.1,0.0
ZNF185,127.99999999999999
SLC35E2B,1282.79
CICP23,2.498
AC018816.1,1.0
AC010733.1,8.14
AP003400.5,0.0
AC092117.2,62.005
DPH1,131.71699999999998
RPL34P18,0.0
AC015795.2,2.0
OSGIN2,306.0
FNIP1,1536.247
MSANTD2,89.0
AC113192.5,0.0
RNU6-189P,0.0
AC008750.2,13.0
MIR4724,0.0
RPL7P45,0.0
AC025287.4,0.0
CU104787.1,0.0
CLCN6,212.71800000000002
TMA16,89.542
IGHV3-16,0.0
SUN5,0.0
SPCS2,221.92499999999998
SNORD53,16.0
AC007787.1,0.0
CCDC43,69.001
LINC00904,0.0
UFSP1,10.0
AC092794.1,0.0
AC007614.4,0.0
POLR3GP1,0.0
RIIAD1,1.0
AC073488.2,1.0
MIR7705,0.0
PYCR3,63.355
AL390726.4,0.0
DPY19L2,23.091
RASSF1-AS1,23.0
AC090023.1,0.0
AC093788.1,6.0
MMS22L,503.955
EDA2R,9.0
STK32A,10.052
DNAJB8,1.0
EEF1A1P21,0.0
IGKV2D-38,0.0
FO393414.2,0.0
TUB-AS1,1.0
RNA5SP142,0.0
AC117525.1,0.0
AL390816.1,0.0
AP002478.2,1.0
VPS13B,1964.72
SP5,1.0
AC117395.1,0.0
CYCSP33,0.0
WFDC6,0.0
LMO7DN,0.0
SQLE,39.0
TSPY16P,0.0
AC134349.1,6.0
LY6H,0.0
FTH1P27,0.0
PRYP5,0.0
AC099677.2,0.0
TCF7L1-IT1,0.0
POLR3GL,87.55000000000001
COLGALT1,608.478
CLCP2,0.0
TRBV7-1,0.0
ENSA,405.048
NDUFA10,452.687
RCC2P5,0.0
MTND6P20,0.0
AC090821.1,7.0
KRT18P47,1.0
AC007151.1,0.0
C7orf71,1.0
AC040896.1,1.0
MTCO3P40,0.0
CREM,62.703
TRIM49,0.0
ZMYND8,227.08
AP005119.2,0.0
PRUNE1,267.0
AC008243.1,0.0
AMPD2,496.99999999999994
RNA5SP279,0.0
AP003306.2,4.494
AL030996.1,0.0
CCT4P1,0.0
CFL1P5,7.8839999999999995
ZER1,205.0
FAM71C,0.0
OR5W2,0.0
PDLIM1P4,21.835
GLOD4,119.70400000000001
AC051619.2,2.0
MRPL16,42.001000000000005
AC007218.1,1.111
SIX3-AS1,0.0
C2orf27A,8.258
TPM3P8,0.0
AC092952.1,0.0
GRID2IP,0.0
RNU2-22P,0.0
LINC00395,0.0
AL360271.2,0.0
LINC02230,0.0
AC092634.2,0.0
AL359636.1,10.758
BX640514.2,3.0
AC012368.2,31.0
AC016526.3,35.408
ZNF33CP,0.0
RNU7-18P,0.0
JADE3,17.0
C4orf32,10012.046999999999
AP002414.1,0.0
B4GALT6,41.0
RNA5SP54,0.0
ST6GALNAC1,4.0
AC233280.19,0.0
AF274858.1,0.0
ALKBH5,312.0
RNU6-1057P,0.0
CFL1P4,1.0
LINC02425,0.0
ARHGAP4,345.947
RPL13AP5,3.4610000000000003
MTND5P15,1.0
MTND6P24,1.002
LINC00433,2.0
AC139887.2,70.28399999999999
SHD,0.0
ADH6,1.0
BX322234.2,2.0
AC010359.1,4.0
AC064862.7,0.0
SMC4,248.66800000000003
AC016885.3,0.0
AC090707.1,0.0
AC112178.1,38.854
AC007690.1,1.0
LINC01163,1.0
MIR375,0.0
AC069439.1,0.0
XKR8,131.18800000000002
LINC01667,2.0
TRBV27,2.0
AP005019.2,0.0
AC023394.2,1.0
PPIAP27,0.0
SYK,1035.694
PUM1,557.797
AC103739.2,0.0
FAM90A26,0.0
KIF7,1.0
WDR5B,213.842
ATRNL1,9.663
MIR3936,1.0
AL583810.2,1.0
MTCO2P4,0.0
AP005233.1,2.066
C16orf59,2.0
SNORA24,3875.217
LINC01516,7.6979999999999995
SEC62,745.3449999999999
TADA2B,346.82500000000005
Z97652.1,0.0
AC002558.3,21.049
TMBIM7P,6.059
NUCB2,305.028
PIGFP3,1.0
AL033519.1,0.0
AC016888.1,4.0
AC011511.1,24.307
AC004801.5,2.634
AL161911.2,0.0
AC010761.5,0.0
OR2G2,0.0
RNU6-640P,7.0
AC091304.4,0.0
FAM187B2P,0.0
IL4I1,0.0
RUFY3,132.48499999999999
AC138696.2,0.0
UBE2CP1,0.0
RERG-AS1,0.0
HELQ,94.0
AC106733.1,7.308
CELA3A,2.0
NANOGP8,0.0
AC092598.1,4.122
PRICKLE1,73.644
PIM1,683.0
FLVCR2,145.67700000000002
ATG4C,128.0
AC084757.1,0.0
AC010653.1,8.0
DPYD,1273.295
MIR5094,0.0
AC007610.4,93.762
AC017067.1,0.0
TMEM254-AS1,8.038
BNIP2,1439.6409999999996
RN7SL451P,18.881
GOLGA6L7P,14.991
AC005304.2,241.65400000000002
RN7SKP57,0.0
AL160400.1,40.139
AC011472.1,11.767000000000001
ALPL,1222.0000000000002
AL683813.1,148.248
ABCE1,130.358
CLIC4,545.9999999999999
AC100757.4,0.0
AC010127.1,28.182000000000002
WNT3A,0.0
MIR4507,1.0
SUSD6,2009.0
MLLT6,817.3369999999999
C5orf66-AS2,0.0
AL513365.1,9.0
HSPBAP1,743.86
MSI1,19.135
AL080251.1,0.0
LINC02245,20.745
AL358613.1,0.0
HLA-C,5332.231999999999
AC113554.1,0.0
MIR3913-1,0.0
HES7,7.0
PTGDS,15.352
RNU4ATAC14P,0.0
AC097641.2,1.0
MEX3D,2.0
TOMM40,112.90799999999999
AC233702.4,0.0
BEAN1,59.802
RNU6-232P,0.0
LINC00311,34.351
AC009237.2,0.0
RPS3AP36,0.0
AL359682.1,0.0
SNORA3,1.0
PRSS30P,1.0
OR5BN1P,0.0
ARHGAP44,30.799
ZNF649,57.458
MAGEB16,0.0
AC125494.2,40.0
WDR18,14.0
SYT2,9.384
AL136520.1,2.0180000000000002
RBP1,23.405
Z82188.2,1.0
AC125603.4,39.260999999999996
AL355075.2,10.352
AC087763.1,0.0
TMEM161BP1,0.0
AC007342.8,21.0
AC022796.1,0.0
AC002487.1,0.0
AC025750.1,0.0
AC131097.1,6.5089999999999995
PLD4,7.999999999999999
MIR564,0.0
PRELID3BP8,0.0
RNU6-178P,0.0
AARSD1,43.40500000000001
SLC9A6,228.16899999999998
SEC13,127.0
SMG1P1,1906.5699999999997
KRTAP4-16,15.823
IGBP1P3,0.0
AC005726.2,180.22199999999998
RNU2-4P,165.68400000000003
EI24,135.589
AC015712.7,0.0
ZNF540,59.730000000000004
AC080075.1,1.0
AC068898.1,0.0
AC097263.1,0.0
BTF3L4P4,0.0
PLSCR5,1.0
FAM78A,226.12600000000003
LAMC1,80.0
AC010333.1,0.0
AL137849.1,0.0
SPRR2D,0.0
XKRY,0.0
FTSJ1,56.0
SLC31A1,207.58599999999998
ACTRT3,0.0
TSPAN11,1.0
AP003721.3,0.0
RN7SL201P,1.087
AARD,36.728
AL589642.2,19.0
AL845331.3,1.008
CCNJP1,0.0
CLPSL1,0.0
DMRTB1,0.0
AL589880.1,0.0
OR52H1,3.0
AC103808.4,0.0
NOXRED1,27.205
RNU6-325P,0.0
ANO5,12.0
AC004080.2,0.0
AC090286.2,0.0
AIM2,223.0
LINC02373,1.0
AC019209.3,7.189
MIR4673,0.0
AL591721.1,0.0
OR6W1P,2.0
HSPA8P8,0.0
SIRPD,114.896
GAGE12B,0.0
PPP1CB,2511.04
DEFB116,0.0
LINC00506,12542.751
AC090897.3,0.0
RNU6-776P,0.0
TRAFD1,460.029
AC068790.8,0.0
CSPG4P10,2.1069999999999998
SHOC2,1183.406
HIST1H2BN,88.42
OAS3,116.445
RN7SL81P,5.085
RNU6-613P,0.0
ZNF550,60.080000000000005
