gene_name,HH003_D_SA_S7
AC004004.1,3.0
SNORD69,6.0
AC108120.1,3.0
CAPN1,261.055
SLC9A9-AS2,23.253
AC022387.1,12.734000000000002
RNU6-712P,0.0
AC005999.1,7.0
UNC119B,121.001
AL591163.1,50.581
AC079776.5,7.0
IFNWP5,9.871
FBLN1,362.665
RPSAP72,7.0
ARHGAP19-SLIT1,20.902
AC021237.1,27.0
NFKB2,198.483
PRAMEF25,22.997
ZNF713,288.971
AC091826.2,3.0
BSNDP2,5.0
RPL12P36,9.0
AC004805.2,1.0
TRGJ2,6.0
AL137790.1,1.0
RNA5SP139,1.0
AC112204.2,5.0
MEX3C,175.0
AC008065.1,2.528
RNU6-1088P,1.0
RNU6-192P,2.0
GAPDHP76,5.0
ZNF630-AS1,6.0
DNM1P48,2.0
KRTAP1-3,2.1069999999999998
C1orf141,68.97
AL356134.1,1.0
CASP5,72.001
GJB1,8.0
MIR4493,0.0
SNORA42,2.0
AL136372.1,12.0
ZNF644,380.00000000000006
AKR1B1P4,2.0
GZMH,25.983999999999998
VN1R37P,1.618
SNORA74C-2,4.0
FLNA,1202.0
SOCS2-AS1,192.86100000000002
KIAA0100,597.5849999999999
AC012485.3,93.38600000000001
SATB1,530.298
RNU6-857P,3.0
RAB10,835.0000000000002
TXNDC12,111.39600000000002
AC095032.1,4.214
ACTR3BP3,21.741999999999997
CDKL2,50.0
LINC01389,5.0
MTND5P29,44.393
AL589923.1,1.0
RFTN1P1,28.916999999999998
AC010460.1,13.0
AP001180.4,8.262
AL390877.1,0.0
ABCC1,198.06400000000002
ADGRL3-AS1,10.409
IGHV1-67,1.0
RNA5SP105,0.0
C5orf46,15.998999999999999
KCNQ2,65.999
AC013472.1,107.70700000000001
UGT1A12P,12.832
RN7SL269P,23.858
MOCS1P1,6.0
P2RY12,24.0
FAT3,190.058
AC118757.1,9.16
PLSCR5-AS1,3.0
LINC02482,6.029
ATP2A1-AS1,0.0
KLHL42,163.87300000000002
AL390755.1,8.0
AL512504.1,11.0
AC092066.1,4.0
OR51F1,12.0
PSMA2P2,10.825
EVPLL,7.388999999999999
MIR548G,0.0
AP000654.2,7.815
CLDN24,6.0
MIR206,0.0
MYO9B,640.719
ADA,27.999
AL662844.3,32.544000000000004
AC244517.1,72.35600000000001
FDPSP1,9.255
AL445523.1,9.0
AC004869.1,8.0
SPPL2A,639.951
AIRE,67.66900000000001
OVCH2,36.221
AP001836.1,16.0
AC125613.1,61.281
RSL24D1P3,1.0
Z99756.1,50.293
AL023581.2,8.0
OR4Q3,24.005
AC016738.2,5.0
KCNQ5-AS1,16.0
AC103957.1,412.33
RNU6-924P,12.0
CENPW,5.0
AFAP1L2,57.99999999999999
LINC02279,1.0
MARCKSL1,62.0
AC015795.1,8.0
AL590440.1,0.0
ATP5G2P4,0.0
GUCY1A2,194.99999999999997
KCNMA1-AS1,169.44
AL390061.1,5.0
GTF3C5,76.80999999999999
CENPM,221.374
IGHVII-67-1,0.0
FAM96AP2,7.0
RNU6-180P,1.0
AL136982.2,9.424
AL606462.1,0.0
ZNF518B,303.0
RNMTL1P2,5.0
RNU6-662P,1.0
SP3,1346.0
AC090695.1,20.0
RNU6-356P,3.48
RGS7BP,32.0
C1QA,3.0
AC012442.1,10.0
AC005521.1,9.0
AL450326.2,13.0
GGTLC3,7.37
LINC00905,15.872
BPIFB4,27.0
LINC01298,6.0
AC005920.4,0.0
MIR4283-1,0.0
AP000229.1,169.709
RNU6-209P,0.0
C4orf19,51.248000000000005
TRBV23-1,1.0
MAS1,254.05200000000002
THY1,53.948
WNT8A,11.0
AF178030.1,12.0
IL4I1,16.866999999999997
AC016908.1,16.0
PTP4A1P2,0.0
GDNF-AS1,129.69099999999997
AC103710.2,30.0
AC092336.1,6.6
SNORD114-28,4.0
ZBTB8OSP1,10.0
ARPC5L,49.0
MIR6769B,0.0
EHMT2,181.166
LINC00689,87.39999999999999
NRM,40.0
ZDHHC12,37.0
AC069549.1,19.0
LZTS2,44.0
AC072039.2,0.0
MIR6507,0.0
AC060766.3,1.0
MARCKSL1P2,101.227
AL162233.1,22.862
RPL21P42,6.077000000000001
RPL23AP92,1.0
AGBL4,93.844
LIPT1,80.26599999999999
AC073073.2,248.56400000000002
AC092106.3,2.0
AC010591.1,6.0
AC091057.1,21.738000000000003
RPS2P36,40.0
TOMM22P5,2.0
AC064801.1,9.0
ZNF101P1,26.0
NOMO3,382.674
NES,42.0
NPHP3,489.266
SNORD53,2.0
AC008280.2,0.0
AC021549.1,13.0
AC104447.1,101.866
TRIM51,28.03
C11orf97,9.0
AP000943.4,2.0
AC234772.2,1.0
AL591704.2,1.0
ZMYM4-AS1,9.958
PP14571,29.0
AL138799.2,6.0
AC025178.1,19.0
WDR60,82.106
AC020779.1,82.866
MIR933,1.0
AL133523.1,6.025
AC126614.1,35.861999999999995
OR51A10P,7.0
LINC01628,1.0
AL359258.1,98.574
RN7SL159P,4.0
SRGNP1,5.0
SNORD116-12,0.0
ZBP1,213.743
AL031666.1,59.0
CPB1,90.30100000000002
AP3M1,272.142
AC092802.1,680.247
KATNBL1P5,3.0
GOLGA2P7,131.545
UCHL1,18.0
LINC00838,49.211000000000006
NECTIN3-AS1,16.0
AL110292.1,71.849
NPAP1P2,58.202
KRTAP3-2,4.0
AC079080.1,3.0
AC017104.5,11.0
MRPS30,227.474
HMGN2P25,4.0
Z99129.2,13.0
AL161896.1,0.0
IGLV3-17,1.0
SLITRK1,55.0
VN1R35P,7.0
AC005618.4,0.0
MED28P6,0.0
AC244034.1,8.737
LINC01699,2.0
RPS29P4,2.0
ACAD10,214.632
APP,326.1940000000001
RASGRP3,359.62300000000005
KDM3B,634.858
AL513165.2,0.0
AC078881.1,84.875
RAB11FIP2,254.23399999999998
BAALC,42.001
DUSP22,242.0
ECM2,100.999
FBN3,57.999
U91328.2,459.64099999999996
ZNF354C,115.345
DDX49,30.516000000000005
CYTL1,15.0
GOLIM4,61.00000000000001
ZNF549,391.64000000000004
AC087645.3,3.0
AC124864.1,5.226
AC067930.6,25.095
CCNT2P1,32.0
BX276092.7,3.875
TUBAL3,17.0
RN7SL176P,3.562
VN1R25P,9.0
SLA2,116.717
RPSAP75,13.0
OR7E155P,9.5
RBMY1E,9.562999999999999
POLR2LP1,1.0
ZNRD1,51.980000000000004
ZNF121,679.006
AC125616.1,39.641999999999996
AP000436.1,3.0
RPL35AP19,8.0
PLLP,545.718
CDRT8,6.0
PRNT,20.0
PRKCD,381.643
AC055811.3,9.0
AC018682.1,63.0
AP001476.2,1.0
CYYR1-AS1,346.065
LINC01370,12.0
RNVU1-15,2.0
MIR4640,0.0
WFDC12,66.73899999999999
AC022167.2,78.507
AC104685.1,4.0
APOA4,4.0
AC007823.1,117.061
GAB1,359.08
AL592437.2,19.694000000000003
AL139093.1,1.0490000000000002
AC105052.1,20.074
FRMD6,124.0
AL358216.1,14.0
AC084851.3,5.834
AC022558.1,10.633
AC104115.1,2.0
DHDH,10.0
AC073264.4,0.0
