gene_name,HH003_A3_SA_S5
AL136537.1,3.0
RPSAP39,2.0
SV2C,121.22600000000001
RPL36P1,4.0
ARMCX6,16.478
AC136475.1,222.29899999999998
BAP1,125.38300000000001
MIR7855,0.0
RNU6-97P,1.0
AL670379.10,0.0
RWDD4P2,3.612
DSCR4,17.0
AL445070.1,6.0
EIF5P1,5.039
RPL7P7,13.602
OR4X2,5.0
AC112498.1,0.0
AC107871.1,92.305
RNU6-1285P,4.0
EPN2,155.55499999999998
PIP4K2C,104.0
AC010620.2,0.0
CFTRP2,0.0
GOLGA6L22,138.659
AP006294.1,1.0
GAPDHP45,1.0
MIR4290,1.0
AL122035.2,55.552
AC215522.2,860.611
AC007950.1,1.0
AC009039.2,2.0
EEF1B2P8,2.0
ZDHHC4,141.46099999999998
LINC01794,7.672999999999999
AL359636.1,15.802
AL022318.2,2.0
RNU6-582P,1.1440000000000001
AC020910.4,4.0
SNORA67,287.714
CYP2C18,21.0
AP001160.5,0.0
AC009509.3,4.831
LINC01705,25.506999999999998
AC008629.2,1.0
LINC02449,62.876000000000005
MIR4283-1,0.0
AC092127.1,73.29899999999999
AL590644.3,0.0
AC005609.2,0.0
MKX,34.0
MIR3922,0.0
AKR1B1P1,2.0
KRTAP4-16,71.324
RBMS1P1,209.52900000000002
AC020917.1,27.128
AC100818.1,40.304
GLIPR2,699.0
MYBBP1A,43.456
AP001171.1,11.0
Z98044.1,7.0
RN7SL107P,16.973
AP000902.1,64.0
AC009414.1,6.0
AL138966.2,4.563
APOC3,6.0
OR2AG1,277.476
LINC00163,9.0
AL139099.2,0.0
AL157871.1,4.0680000000000005
RNU1-5P,2.363
AC005606.1,9.347000000000001
AC009142.1,9.0
AC079395.3,2.0
AC097634.1,116.0
AC073539.3,7.0
DLAT,67.0
AL160275.2,0.0
COX6B1,132.0
BAK1P1,11.644
POU6F2,78.38099999999999
AL133371.3,6.24
KRBOX1,23.678
USP53,179.46699999999998
MIR3611,0.0
AL596442.1,2.0
CBX3P3,38.0
AP000769.2,0.0
PCP4,11.001
HOXD1,4.332
AL451042.1,1.0
ARHGAP24,221.05999999999997
AL138924.1,3.0
PPP2R2B-IT1,3.0
ANKRD49,90.72800000000001
RPN1,418.97900000000004
AC026471.2,7.37
AC092647.4,1.0
RN7SKP175,0.0
MAGEA1,5.3660000000000005
DUX4L28,0.0
C4orf33,133.73499999999999
AL157713.1,21.023000000000003
AC009139.2,11.347000000000001
AP000941.1,45.042
TMEM51-AS1,65.383
MMS22L,868.4189999999999
RNU6-959P,3.0
AC004908.1,21.983
BAG5,173.72000000000003
USP54,157.43200000000002
PEX5L-AS1,7.0
AL049775.1,15.0
ACTL8,9.0
RNU4ATAC17P,3.0
AL354872.2,11.997
DUTP3,1.0
AC005144.1,7.0
HDAC1P1,3.0
AC007610.1,11.195
MOSPD1,51.001
AL138733.2,3.0
AL023284.1,0.0
C17orf67,20.0
AC002310.3,7.0
RNU1-108P,3.0
GTPBP3,119.586
WFDC6,6.648000000000001
UBXN10-AS1,1.0
DPH2,42.00000000000001
INTS11,202.79299999999998
TRAF6P1,6.281000000000001
ARX,23.84
EHD4-AS1,26.541999999999998
A2ML1-AS1,2.0
AL136131.2,9.0
ZNF723,35.381
MIR513C,1.0
U1,17594.249
RAB6B,52.001000000000005
LINC01393,23.001
TIAM1,294.37899999999996
AC093107.2,2.0
EIF4G2,978.623
MIR584,1.0
OR51H2P,31.0
STK4-AS1,63.262
AL592114.2,4.0
CD2AP,215.00000000000003
FBXO10,45.001
ZNF965P,25.0
AC108019.1,0.0
ZNF143,139.0
AC004052.1,13.0
CKAP2P1,15.0
MLLT10P1,23.0
RN7SKP292,31.000999999999998
DCAF8L2,24.282999999999998
AC062039.1,2.0
AC114488.1,5.0
AKAP8L,90.35900000000001
AL121950.1,306.241
IGHD2OR15-2A,0.0
ADAM30,20.0
G0S2,8.0
NAIF1,148.677
C5orf22,196.258
AC022532.1,16.55
C4A-AS1,32.652
AP005202.3,1.0
AC087284.1,80.0
AC026254.1,0.0
AC012184.2,0.0
MIR6782,0.0
FAM167B,11.0
SNORD116-5,9.262
DPPA5P1,1.0
AL391415.1,7.0
AL356580.1,4.0
ZNF662,286.421
LRRC77P,79.609
AF111167.1,138.954
SLC47A1P1,10.0
OFD1P6Y,7.65
TRPC1,62.999
AL807740.1,1.0
C9orf135-AS1,19.702
CASC16,15.0
CYP2A6,19.515
IMPDH1P11,6.101
GUCY2D,10.755999999999998
LINC01800,7.0
RNF217,253.44299999999998
AC091588.3,2.354
AC090227.2,2.0
GGTLC2,7.768000000000001
MIR4307HG,6.0
AL662874.1,1.0
TRAV13-1,5.0
AL713923.1,2.0
AL512635.1,7.0
OR2T35,0.0
BX088651.4,15.469000000000001
AC026780.2,7.0
AC138089.1,0.0
AC027309.1,0.0
KRT13,10.0
HIST2H2BB,0.0
PRB3,7.0
RNU6-1079P,1.0
TBPL1,150.11100000000002
AC119677.1,4.0
AC069444.1,1.0
AC016629.3,102.44999999999999
AL646090.1,4.0
PARP4P3,3.467
AC097359.2,144.069
AL049869.2,9.0
HOXA11-AS1_2,1.8630000000000002
ABCC6P2,17.049
AC021749.1,4.0
GSTM5,50.602999999999994
RN7SKP10,1.0
AC139697.1,2.0
AC005379.1,1.0
NDRG3,168.06199999999998
