gene_name,HH003_R_SA_S9
HACL1,9.0
AC005618.4,1.0
EVX1,2.0
AL020994.2,2.0
TMEM175,4.111
LDLRAD4,26.0
AL592164.1,1.0
AC010776.1,2.0
SCIMP,16.519
HIBADH,9.0
MSRB3,6.8469999999999995
AC139530.2,0.0
MUC6,12.0
AC112907.3,2.0
SLC12A9-AS1,1.0
SNORD2,0.0
PMS2P2,0.0
USP32P1,49.861
AC004808.2,1.0
DDX60L,154.933
ZNF503-AS1,4.0
AL359265.3,2.0
MTND2P40,0.0
CCT6A,22.479999999999997
KDM5B,21.525
WIPI1,20.098
AL450023.2,0.0
TSPY25P,0.0
MIR6733,0.0
OTX2P1,0.0
AP002748.4,1.051
AL121594.6,0.0
TLR2,80.883
RN7SKP123,0.0
AC008781.2,3.0
STEAP2-AS1,2.0
AL133351.2,0.0
AC005329.2,0.0
AC027309.1,0.0
RPL21P93,0.0
AC090340.1,3.0
AC097504.1,1.4280000000000002
TRAJ17,0.0
AC002116.1,0.0
AC138811.1,0.0
KRTAP5-3,0.0
AL138847.1,0.0
MIR548J,0.0
C4orf33,17.0
TXNDC8,5.0
AL021155.1,1.0
LHX9,19.68
C6orf106,27.0
AURKC,0.0
SAP18P2,1.0
ZNF345,19.759
AC109439.2,2.852
AC139718.1,0.0
RPL34P19,3.0
POU6F2-AS2,0.0
ZNF736P8Y,0.0
GAS5,87.884
ROBO2P1,3.0
AC008738.1,1.065
OSTN-AS1,9.0
WHRN,2.0
AC090241.2,7.999999999999999
MIR7159,0.0
AC002064.2,0.0
AC005632.4,0.0
RNU5F-3P,0.0
LGALS8-AS1,1.0
ATP11A-AS1,3.0
AL139415.2,0.0
MTND4P18,0.0
AL035258.1,1.0
AL645924.1,0.0
ZNF598,3.0
AC009831.2,0.0
SDC1,4.0
AL138799.2,1.0
AC073896.2,3.0
SERPINI1,5.0
AC090617.1,0.0
AL606923.1,0.0
AC125336.1,3.0
AC009163.1,6.005
LRRC10B,1.0
ZNF32-AS2,0.0
AC079416.2,2.0
AC034238.2,3.763
LINC02422,2.0
ESPL1,8.055
IMP4,5.0
AL157688.1,1.0
AC097638.1,0.0
FAM163A,1.0
CATIP,9.027000000000001
AC109481.1,0.0
MIR760,0.0
AGL,12.999999999999998
LINC02450,5.0
AL662791.3,1.0
AC092666.2,0.0
OR5R1,1.0
AC008750.7,0.0
AP001453.3,0.0
AKAP4,1.0
BX119904.1,0.0
AC024132.1,0.0
AC022706.1,2.0
HMGN4,4.0
RAB23,4.0
MIR1255B2,4.0
PRDX4P1,3.0
MIR3689D1,0.0
OR51D1,6.327000000000001
TYRO3,47.095
IGKV2D-36,0.0
MRPL37,2.0
MIR4321,0.0
OR3B1P,0.0
HEBP2,17.024
YRDCP1,1.0
OR4D6,0.0
AL157831.1,0.0
AC008507.4,0.0
GPR179,5.0
AC105233.6,0.0
CCNG1,4.0
MIR6829,0.0
AL390115.1,0.0
RNVU1-2,0.0
AC087318.1,1.0
AP000711.1,1.0
BX324167.2,4.098
IGHV3-60,0.0
ARRDC4,7.0
RPS20P22,4.244
DIP2B,55.707
AC114755.5,0.0
MIR670,0.0
MIR8075,3.0
AC068985.1,2.0
RNA5SP91,0.0
CMC2,62.607
MIR6131,0.0
AC008735.1,5.984
OSBPL11,17.0
AP005137.1,0.0
C21orf62,1.0
AC011716.1,0.0
AL031733.1,0.0
AL161722.1,0.0
TCTE1,3.4819999999999998
AC006509.2,0.0
TRIM60P16,0.0
AC012157.1,0.0
AC021594.2,1.0
C6orf141,6.378
AC106774.7,0.0
RPL12P23,1.0
AL831711.1,9.74
MIR4646,0.0
ZNF217,118.0
AC116565.2,0.0
UBQLN3,0.0
MIR3661,0.0
AL035420.3,0.0
AL355578.1,7.0
ZC2HC1A,10.0
AC010891.1,0.0
VAV3-AS1,2.0
RN7SKP195,0.0
AC120042.2,1.0
IL21-AS1,6.0
MTND4LP11,0.0
AC055717.1,7.527
SMG1,405.055
BRDTP1,0.0
KCNK17,6.0
AC022616.3,0.0
LINC00607,1.0
AL132989.1,5.0
RNY1P14,0.0
RNU6-1338P,0.0
CYCSP5,2.0
LINC01697,47.342
Z95114.3,1.0
AL359195.2,10.0
NHEJ1,1.0
A2ML1-AS2,2.7439999999999998
ZNF493,161.53300000000002
AP003025.1,0.0
AC009237.4,0.0
WDR95P,2.0
AP001767.4,7.504
RN7SL751P,0.0
PSMA3-AS1,89.80000000000001
MTFR2,5.0
FO393412.1,0.0
LINC02124,0.0
TRBV19,0.0
POLR2LP1,0.0
AC108157.1,5.0
AL357075.2,1.0
LHFPL1,0.0
AC011495.2,0.0
BGLAP,3.0
AC245128.3,12.859000000000002
EEF1B2P8,1.0
HSPE1P21,0.0
AL590396.3,0.0
AL096678.1,0.0
AL157938.2,9.047999999999998
CACNA1B,8.359
MIR152,0.0
UBL5,22.349
MIR6754,0.0
FAM105A,24.999999999999996
FOXP4,2.0
GEMIN8P3,1.0
LINC02006,5.314
VTRNA3-1P,0.0
LCAT,0.0
LINC00706,1.0
PARP6,45.86300000000001
AL451142.2,3.0
NDUFA8P1,1.0
SNORD96B,0.0
CIRBP-AS1,1.0
AC138915.3,7.0
AIG1P1,0.0
AL590617.1,0.0
SPEF2,64.119
SMG1P1,108.00800000000001
HIGD1AP18,0.0
RCL1,28.195999999999998
IFNA1,0.0
MIR196B,0.0
LDB1,12.0
AC105219.3,1.0
AC004771.5,0.0
AC093278.1,0.0
AL512310.4,0.0
RABAC1,2.0
MIR30E,0.0
RNU6ATAC40P,0.0
CASKIN2,1.0
BCL11B,38.0
AC007547.1,1.0
AC023827.2,2.0
AC002094.4,0.0
AC121758.3,0.0
LINC02185,4.0
ZNF560,2.0
RNASEH1,8.227
RHOU,8.0
CCDC26,1.0
ATP8B1,11.378
AC074087.1,5.0
NEPNP,0.0
AC024681.1,1.0
TMEM2,54.82100000000001
AC023449.2,2.0
RPS20P15,0.0
HIST2H2BE,11.24
Z93242.2,0.0
MRAS,13.017
MINDY2,48.27799999999999
AC092718.5,0.0
RPL21P42,2.0
HS3ST3A1,2.0
AC093227.2,2.0
AL136018.1,16.0
ZGRF1,35.951
ITGA10,17.959
NEU2,0.0
ZNF568,23.982999999999997
TIGAR,10.676
PSMA3P,1.0
MTOR,23.0
ERI2,13.0
RPL23AP15,0.0
AC027243.1,0.0
AC027343.3,0.0
RN7SL188P,1.0
AC136944.2,67.82
POLR2KP1,0.0
RNU1-73P,0.0
COX6CP16,0.0
SNORD45C,0.0
RN7SKP229,0.0
MIR6781,0.0
AC026741.1,1.0
WARS2,7.0
ATP1B3P1,0.0
AP001999.3,0.0
BCLAF3,43.456
AC068987.2,1.0
AC106774.4,0.0
HEATR5A,33.855000000000004
AC084365.1,0.0
FAR2P2,61.482
MTND5P16,0.0
SPARC,17.001
STK11,18.137
MIR6871,0.0
RNU6-1194P,0.0
AC068473.1,0.0
MIR100,0.0
AL022328.1,0.0
STX18,9.999
POF1B,22.0
AC005274.1,1.0
