gene_name,HH003_K_SA_S8
AC022211.1,8.0
PLAC8,79.804
RPLP0P2,40.959
AC007485.2,5.0
GAPDHP63,2.0
GPR156,9.0
AC073530.1,3.0
AFF2-IT1,1.0
DMD,145.72500000000002
AC241644.1,5.0
ERCC2,19.275
RPS29P2,0.0
AC007677.1,1.0
MTND5P29,7.0
AC048344.4,3.0
AC064836.2,1.0
AC008079.2,313.295
AC002463.1,4.3469999999999995
AC092159.3,13.306
AC097358.2,2.0
ROBO4,17.281
NAPEPLD,61.406000000000006
AC139795.1,4.588
SNORA9B,1.0
DCTPP1,2.0
GAPDHP38,4.0
LINC02554,29.0
RCC2P3,3.0
GLUL,412.211
LINC02293,7.0
RPL23AP70,0.0
AP1M1,267.832
DDX3P3,3.0
RPL12P11,1.0
SNORD116-17,12.445
MIR4287,0.0
MIR892C,0.0
GFOD2,108.26599999999999
AC025569.1,64.309
MIR1282,0.0
ZFP28,29.001
SNRPCP2,0.0
TMEM221,19.251
RALBP1,131.99300000000002
CAPZA3,2.0
IGBP1-AS2,0.0
AL049833.2,11.0
SFXN2,85.24999999999999
ATP13A5,17.0
AC007619.2,1.0
PAK1IP1,15.0
ACTR1A,40.847
ZNF317P1,0.0
RN7SL474P,18.6
RNU6-44P,0.0
SULT1D1P,4.0
RPS7P1,6.772
SNORD35A,30.947
LINC02397,64.971
RAB3IP,232.437
AC087241.4,1.052
AL161616.1,3.0
NANOGP10,0.0
AC097467.1,6.0
PARP2,31.001
MIR583HG,2.0
IKZF4,15.0
RNA5SP122,1.36
NRAV,2.0
ADM,31.0
HIGD1B,3.0
KLHDC8B,11.0
HIST3H3,0.0
USF1,21.513
VN2R3P,13.0
AC109462.3,1.0
RNU6-320P,0.0
SRP14-AS1,15.675999999999998
TGOLN2,182.92700000000002
AC034206.1,0.0
AC104619.4,0.0
GPR32P1,0.0
PKIA-AS1,6.216000000000001
ANKRD44-IT1,53.056000000000004
RN7SKP112,0.0
CD300LD,11.329
MEIOB,2.0
OR10J2P,6.0
TRABD,9.0
AC093004.1,1.0
UBAP1,51.0
AC097381.2,3.0
AL160287.1,11.273
DPP10-AS1,3.0
PYGL,176.305
AC009965.2,6.0
AL031667.2,0.0
AL591926.2,7.448
LINC01714,2.0
AC114324.1,9.021
ZNF782,28.0
FARP2,78.584
AP002383.6,1.0
ZNF680,39.633
AC022880.1,1.0
AC093107.2,1.0
RNA5SP21,3.0
NREP,129.001
TTBK1,15.0
AC012506.1,2.0
FAM27E4,0.0
TPD52L1,142.406
AC068339.2,2.0
LGALS3BP,4.0
CCDC188,2.0
ZPLD1,31.007
MRPL50,25.0
AC011008.2,10.0
ADO,14.0
AC001226.1,5.0
AC107884.1,64.015
AC100757.3,55.853
MIR1294,0.0
AL355102.1,0.0
PDK1,134.144
AL354854.1,5.0
HIVEP3,27.0
OR6R1P,2.0
AC007603.3,3.0
UNC13C,128.275
AC016394.1,0.0
AL450332.1,4.0
AC023827.2,1.0
AC244093.3,3.0
EIF2AP4,5.0
ARPC3,61.554
PAXBP1-AS1,44.723000000000006
AC046185.1,0.0
PRND,16.467
NEDD4L,79.02300000000001
PTCHD4,23.521
