gene_name,HH001_B1_SA_S2
ZNF29P,0.0
SUSD2P2,0.0
LINC02213,2.0
LINC01187,6.0
DLEU7,3.0
AC020594.1,1.0
AC106771.1,3.196
FAM81B,4.0
RNA5SP285,0.0
LINC02342,2.0
TEFM,98.30199999999999
PTP4A1P4,2.0
AC015724.1,1.0
MIR4749,0.0
TPM4,452.753
IGKV2OR22-3,0.0
AL033519.1,1.0
ZFYVE1,215.00099999999998
AC142086.5,1.032
AL671511.1,4928.0779999999995
AC092296.3,0.0
TP53TG3E,0.0
IGLV2-8,69.142
AL591424.1,0.0
AC008280.2,2.0
AC131160.1,26.070999999999998
AC008592.5,70.99600000000001
AL049765.1,1.0
ZBTB21,94.0
AC091962.1,4.0
HNRNPA2B1,2599.9999999999995
RPL7L1P10,15.686
AL031713.1,0.0
RNU6-578P,1.0
AL359880.1,0.0
LINC02242,6.19
AC025260.1,0.0
UNC5B-AS1,0.0
MIR518A2,0.0
F11-AS1,4.0
SUPT5H,188.71
AC068481.1,2.0
AC073648.2,1.0
IGSF6,620.975
CLK3,600.989
RNA5SP121,15.0
IGHVII-1-1,0.0
AC006453.2,18.035
AC122710.2,2.077
AC073913.1,2.0
AMBP,6.0
PSORS1C1,10.148
TP53TG3,2.635
AL451064.1,13.212
REV3L,442.498
NME2P1,0.0
CNRIP1,3.0
AL357137.1,0.0
LINC00574,14.023
SNORD14A,186.0
AC025259.2,2.0
SLC44A2,1916.153
DHFRP3,1.0
AC074389.3,0.0
MTND4LP12,0.0
ELAVL1,134.076
AC092910.3,126.46100000000001
DPP3,29.974999999999994
AC104521.1,0.0
AC245140.2,50.861999999999995
LINC02135,3.0
AC016717.1,0.0
ACOX2,4.0
TMA16,93.392
AL355353.1,1.0
AC105185.1,0.0
AC027045.3,25.315
TMCO4,59.001000000000005
MED16,104.999
LAPTM4BP2,0.0
ABHD17A,144.674
MIR7702,0.0
ARAF,318.99999999999994
AC009093.1,3.0
GSG1,135.452
AC245100.2,1.024
RSPRY1,500.65700000000004
MIR4435-1,1.0
RN7SL253P,4.0
AC091948.2,0.0
AC007527.2,1.0
DNALI1,9.0
AP002833.3,92.479
AC025165.4,1.0
AC099849.1,0.0
AL353622.2,0.0
TATDN1P1,7.605
AC018523.1,2.0
LINC00677,17.0
VDAC1P1,0.0
FKBP7,23.0
AC083841.1,2.0
ZNF682,50.198
UCP2,250.002
HAUS3,356.675
DNAAF5,31.519
HSD3B2,7.001
CEP78,200.20299999999997
CADPS,42.636
NAA60,117.156
RNA5SP305,0.0
OR10H2,1.0
GOLGA8O,4.093
LGI4,6.0
UBE2E1,113.99900000000001
OR52E5,5.0
TPTE,4.657
ILF2P2,0.0
AL591926.6,7.29
AP002008.1,1.0
AC010082.1,9.0
AC015911.9,50.17
AC244394.1,7.146
OR2L9P,7.0
AC138932.2,30.698
SNORD58C,75.718
ZBTB43,244.85100000000003
AL356583.2,0.0
AL096869.2,11.0
VAT1L,11.0
AC117383.2,0.0
CENPI,68.527
RNA5SP332,2.0
KRTAP4-7,0.0
IRX4,5.0
CNFN,0.0
ELOCP5,0.0
GPBP1L1,982.421
AC015802.5,2.0
MORF4L2P1,3.0
AC004877.2,22.0
AP000770.2,1.0
RNU6-181P,6.935
SNRPEP4,9.572000000000001
AC106028.5,1.0
AF181450.1,0.0
OR5M9,0.0
AC063926.2,2.0
HSF2,29.0
LIMA1,55.004
LINC01443,58.715
AC000367.1,53.148999999999994
MIR5583-1,0.0
NKX3-2,1.0
KLRD1,851.5830000000001
C16orf58,71.0
RPS27AP2,0.0
AC092427.1,2.0
MIR1254-1,7.0
AC109309.1,0.0
CYP1B1,203.0
LILRB5,167.489
AL731534.1,0.0
AL512599.1,0.0
RNU6-132P,3.0
AP003063.2,8.0
AC022447.6,0.0
OTOG,9.139
HSPE1P12,1.0
AC005609.5,1.0
OR7E108P,0.0
SIRT5,171.161
SOX6,159.28000000000003
C12orf66,122.357
PI3,138.0
RNA5-8SN5,2018023.658
NPAP1,121.12700000000001
DDX4,9.0
DNAJA1P3,2.0
MTCO3P11,17.0
RN7SL845P,5.277
CDH8,93.36699999999999
OR51E2,60.629
SLC22A11,21.387
TRAV15,2.0
MID2,9.0
AC112196.1,2.0
SETD5,786.1320000000001
AL359220.1,112.12
RNU6-25P,0.0
TOB1,130.0
MXRA5,14.0
MIR3198-2,0.0
NEURL1-AS1,0.0
AL121890.5,3.0
AL022313.3,0.0
AC092451.1,0.0
CDK5R2,3.0
KIAA1841,243.151
PRDX2P2,0.0
JAM3,53.001000000000005
AC007406.2,3.0
CFAP74,112.35000000000001
AC023794.3,5.345
KRT18P58,0.0
NCOR1P3,0.0
AL158063.1,3.0
TFE3,362.0
AC084809.1,0.0
AL359878.1,104.78800000000001
RPL7P54,0.0
AC034236.3,0.0
AC011410.1,0.0
NATP,2.0
OR7E115P,0.0
AL928654.5,70.665
CFAP53,8.0
PIGPP3,1.0
SCCPDH,40.0
MAGI1-IT1,52.882
RRM1,91.169
CLUHP3,346.53700000000003
GVINP1,314.606
SLC25A5P7,1.0
IGLVI-38,2.0
IGHD3-22,1.0
AC023669.2,1.0
ZBTB20-AS5,7.0
AC025857.2,4.0
BRI3P1,0.0
RN7SKP296,5.053
MTND1P4,4.0
AC245517.1,5.0
AL137145.1,287.11
HESX1,1.0
DPPA2P3,0.0
AC245517.4,0.0
DYSF,2400.0020000000004
PRICKLE2-AS2,0.0
AC022613.2,35.132
BRD2,960.241
TULP1,64.0
TLK1P1,2.004
AP001266.1,3.0
GOLGA8F,3.929
RSF1-IT2,67.26100000000001
NUDC,51.528999999999996
IGHV3-21,98.03399999999999
AL357143.1,54.847
IQCE,114.702
LINC00501,27.697
ENKD1,13.0
MIR3910-2,0.0
RFPL4A,6.877999999999999
BCAP31P2,0.0
ENSAP3,3.0
hsa-mir-548d-1,11.964
RNU6-570P,0.0
RNA5SP250,2.0
BTG1,1146.0
ANKRD11,587.999
COMMD10,46.0
AC008628.1,1.0
EBAG9P1,4.0
LINC02156,1.0
RNU6-950P,0.0
RNU6-76P,0.0
AL512488.1,4.003
TRIM11,179.13899999999998
RN7SL728P,2.0
AC133555.2,3.906
AL357140.3,48.214
MEIKIN,2.27
AF001550.1,3.0
HACL1,30.0
LINC01659,9.0
PFN1P6,0.0
LINC00352,142.463
EIF4A1P9,3.0
AC010618.1,0.0
GIGYF1,254.0
SNORD44,0.0
IGSF10,27.0
AC010616.1,10.0
BEX1,7.0
ZRANB2,530.0
AC084398.2,0.0
MIR9-2,0.0
PCGF1,45.269
AP001542.1,0.0
AC127526.1,0.0
FAM237B,6.0
GPR150,4.0
HMGN1P12,0.0
MIR129-1,0.0
UMODL1,24.0
SDR16C6P,7.043
RARB,3.0
TUFT1,91.451
AC015853.1,1.0
RNU6-140P,4.0489999999999995
NXF3,5.561
PEX10,8.0
AC009264.1,79.08200000000001
AL935212.3,0.0
AC090888.3,0.0
AC010320.1,3.445
AC243829.2,9.946
AC011476.2,5.814
AC138649.2,0.0
NDUFB9P1,0.0
RNA5SP304,0.0
THUMPD3-AS1,451.75
PMCHL1,23.609
SMARCE1P6,3.0
AC112219.1,1.0
RGSL1,43.033
IGKV1-9,78.17
PCDHA3,3.0
ZYG11A,65.456
LINC00861,449.931
AC113608.2,1.0
AL360221.1,2.0
AC119150.1,1.662
C9orf41-AS1,7.057
TBC1D3E,0.0
PRRG3,139.03799999999998
UBA1,841.7570000000001
PLLP,346.61
IFNL3P1,0.0
SLC25A17,63.378
AL356130.1,4.0
FAM90A24P,10.331
LINC01478,1.0
AL354919.2,0.0
OR7E86P,0.0
AC004223.2,71.0
HNRNPA1P10,3.2110000000000003
EEF1A1P2,2.0
AL513285.1,4.551
RPL12P18,2.0
SLC3A1,161.65200000000002
AL078603.1,2.0
AL023584.2,209.72400000000002
AL022326.1,5.465
CHM,128.821
AL008719.1,2.0
MIR449C,0.0
RNU7-148P,0.0
TFG,189.00099999999998
RPSAP62,0.0
DEPTOR,10.0
HMGN1P36,0.0
BACH1-IT3,16.0
MOCS2,47.998999999999995
LSM2,33.99999999999999
IL1RN,238.999
HSFX1,11.190999999999999
AC016596.1,0.0
SUV39H2,36.692
AC084026.3,1.002
RPS27P29,0.0
LINC01588,436.53499999999997
UBE2C,17.0
ADAM7,7.0
ALMS1,82.294
CDC42-IT1,209.828
SHCBP1L,34.973
AC006254.1,34.139
EEF1GP1,6.0
ANTXRL,5.0
ERLEC1,179.754
TRBJ2-7,8.0
AL357833.2,0.0
ADGB,28.096
RN7SL623P,0.0
RN7SL586P,2.7260000000000004
OR4C7P,2.0
AP001180.6,0.0
RN7SKP226,0.0
