gene_name,HH003_A1_SA_S4
LRTM1,29.403000000000002
AL158211.4,17.0
AL606490.1,10.797
RNU6-918P,2.0
AC026954.1,14.0
Z99758.1,27.0
AC004158.1,295.804
AC091849.1,5.518
AL603839.4,48.0
RSBN1L,1936.5740000000003
NPC2,721.999
AC138904.2,0.0
MICD,34.0
ASCC3,957.0
NDUFAF2,67.655
CACNA1C-AS2,113.834
AC012313.3,177.977
MIR4638,0.0
OR13C5,26.337
HBA2,593854.123
AC015688.3,16.0
AC067852.1,0.0
TDGF1,149.99499999999998
LRCH2,85.0
AL109838.1,10.0
AC009021.2,72.79899999999999
RNA5SP44,2.0
SMAD1-AS2,35.0
NMT2,265.262
RN7SL189P,17.0
NAV2-IT1,14.0
PTGER4,359.07599999999996
GMNN,90.999
AC079414.2,238.525
AC007365.2,14.0
PCGF2,37.510999999999996
PLSCR3,58.684999999999995
AC092473.1,0.0
PRR29-AS1,176.37400000000002
RN7SL70P,22.951999999999998
DCXR,30.001
AL590133.2,0.0
BX284632.2,0.0
ZC3H11B,106.859
RNU6-895P,4.0
ALDH16A1,431.265
AC005180.2,177.267
SESN1,402.83299999999997
AP005530.1,21.569000000000003
AC022733.2,17.0
DYNLT3,297.10299999999995
AL049597.1,8.14
RNU6-1101P,1.0
GAMTP2,7.0
LCNL1,54.0
SLC7A15P,23.0
POPDC3,45.0
MIR1273C,4.863
DPH3,461.094
PAPOLA,7109.1669999999995
TVP23C,604.366
LAP3P2,7.521
AC004923.1,71.431
CBLC,13.0
ADGRA1-AS1,74.121
AC254562.1,6.0
AC020907.5,293.786
AC092568.1,29.0
RNU6-1054P,4.0569999999999995
MDM1,759.0000000000001
AL139385.1,1600.1029999999998
AC079807.2,58.999
PRAC1,6.0
VASH2,360.177
AC110801.1,4.0
AC041040.1,4.012
ZNF667-AS1,192.931
AC105402.3,112.0
AC108134.2,458.157
AC069431.1,145.215
AC233724.12,8.951
AC008738.3,0.0
VN1R96P,25.0
POU5F1B,380.685
XKR7,200.0
PODXL2,31.0
AL353611.2,39.0
Z98044.1,17.0
AL136380.1,4.727
MIR6869,0.0
AC068448.1,26017.554
ENPP7P13,1.0
TFPT,52.167
NUP98,3193.123
SNORD105B,122.0
LINC01969,13.949000000000002
RPS24P12,12.0
RNASE6,150.0
SPTA1,503.821
AC023078.3,8.0
AC133104.2,6.0
FNBP1,1759.961
TTTY17A,5.0
SH3BGRL,2162.0
AC068512.1,95.073
HMGB1P11,17.195999999999998
MXRA7,717.4839999999999
AC117386.2,29.464999999999996
KCNE5,37.0
AC092801.1,40.0
SULT1C2P2,11.0
AC113404.1,45.92100000000001
EFTUD1P2,46.0
RNU6-263P,1.001
NPFF,0.0
TRIM50,41.029
RNU1-77P,20.019000000000002
AC009081.1,92.51899999999999
COX17P1,0.0
AL391730.1,22.0
AC018735.1,6.051
PLEKHH3,318.259
AC104123.1,167.541
AL645949.2,22.0
AC018682.1,326.0
CGB8,34.128
TTTY18,13.0
MIR4704,3.0
POLR3GP1,3.0
AL583852.1,8.0
APTX,213.102
ABBA01031674.1,47.957
AC114912.1,105.0
MIR769,5.0
NDUFB10P2,9.0
AC090774.1,7.3629999999999995
AP001266.1,0.0
LRRTM4,633.662
AC022165.1,9.582
Z75741.2,22.0
TMEM200B,86.564
AC087672.2,33.0
RN7SL716P,128.7
OR1E1,24.2
PGAM1,1004.875
AC009237.16,9.897
SARNP,471.642
AC009161.1,11.0
AP001010.1,11.341
PSMA6,1514.8020000000001
NDUFB4P7,8.255
BX295541.1,3.0
