gene_name,HH003_B3_SA_S6
AL161740.1,10.026
AP002392.1,0.0
PTMAP8,7.245
RPL35AP22,6.0
SNORA48B,1.001
SLC41A1,39.0
LIMCH1,111.999
ALK,26.001000000000005
TRAJ23,1.0
AC005394.2,102.802
AL049835.1,2.0
AC097467.2,0.0
SNORA55,524.0
RN7SL16P,7.0
RN7SL774P,27.285
AARD,56.062
AC022392.1,0.0
GPRC5D-AS1,42.18600000000001
AP003351.1,6.0
MYL6P4,12.0
AC087664.3,4.0
MIR3202-2,0.0
HNRNPUL1,90.811
AC068189.1,20.0
HCCAT5,12.0
ELOF1,34.259
RN7SL165P,8.0
AC013476.2,3.0
AC084754.1,4.0
CHP1,95.85699999999999
OR7E85P,5.446000000000001
PDHX,47.78699999999999
UBE2V1P14,2.0
AC096736.1,6.0
MICD,3.0
TRAJ4,2.0
AC009704.1,1.0
AC113355.1,1.0
EFHD2,116.0
AC092284.1,16.0
ELOCP9,2.0
AP006587.6,15.0
DHFR,188.268
AC091564.2,1.0
PKMP3,3.0
FOCAD,122.489
TTTY1B,2.0
AC087627.1,12.0
PXDNL,28.000000000000004
AL359212.1,6.0
XGY1,0.0
RNU6-753P,0.0
AL603914.1,2.0
SCML2,37.884
THRB-AS1,51.00000000000001
SPZ1,24.0
AC099535.1,0.0
RN7SL660P,14.251
OR5G5P,0.0
RNU2-23P,3.0
AC068305.2,6.06
FAM86GP,0.0
TMC7,79.28
AC106785.2,15.0
FRG2EP,6.2589999999999995
IQCF6,1.0
AL136979.1,13.22
ARHGEF19-AS1,1.0
AL356056.1,155.588
AC020978.9,16.393
RNU7-47P,2.0
AL133406.2,9.057
AL356274.2,7.0
RNU6-1043P,4.0
FABP3,1.0
GNRHR2P1,2.0
AC104576.1,0.0
OR1L1,6.0
GNAS-AS1_2,3.0
RN7SKP202,1.0
AC104435.2,39.0
RPL36P1,1.0
FAM83B,32.0
TTC9,36.0
NUCB1-AS1,0.0
LINC01968,30.059
TMEM70,31.017000000000003
DMRTC2,22.0
FAAP20,81.206
TRBV25OR9-2,3.0
CCDC112,56.00099999999999
MIR4315-1,0.0
Z74696.1,4.0
MIR518E,0.0
RRP9,3.0
SLN,3.0
BCAP29,82.21300000000001
AC027808.1,0.0
RN7SKP194,0.0
OTUD7A,63.65800000000001
AC113554.2,10.325
DRAIC,16.0
LINC01920,12.0
