gene_name,HH001_B3_SA_S3
AP003499.3,1.0
PCA3_2,0.0
AC097533.1,0.0
BEND3,82.0
RNU6-1065P,1.0
RMST_2,0.0
PRIM1,108.06599999999999
AC025755.1,6.0
PPEF1-AS1,3.0
LINC01832,1.0
AL592429.1,11.0
PELI2,1918.876
AL591806.2,24.0
AC008592.1,0.0
ALG3,125.001
RN7SKP206,1.0
RNU6-1046P,0.0
FAM86GP,0.0
LINC00159,2.0
ZNF471,1864.047
ATP5LP4,3.037
AC079414.2,280.444
SAMD9L,944.11
LINC01354,37.178
MUC12,113.0
AC115619.1,9.581
TMEM51,4.321000000000001
AC090023.2,10.0
CTSS,14776.288
RBP5,183.00000000000003
S100A2,2.0
SPATA12,10.0
STAG1,1235.605
AGAP10P,54.188
RPPH1-2P,1.0
RNU2-57P,34.311
NHLRC2,1838.5140000000001
RPL29,494.19399999999996
AL390838.2,2.0
AL450263.1,20.0
ATXN7L2,28.0
AL627443.1,4.0
AC087821.1,0.0
PPIAP23,5.012
AC020558.1,34.321999999999996
DTYMK,264.433
INHBE,71.74300000000001
KDM4B,1176.249
AC069236.1,123.0
MBOAT4,28.627
BPGM,9534.0
PTDSS1,598.807
AL133492.1,352.865
RNU6-907P,1.117
AL139246.3,37.0
LINC00599,48.0
C3orf33,183.53199999999998
EML2,337.351
AC068134.1,0.0
RNU6-1336P,0.0
AC114803.1,0.0
SGSH,434.91700000000003
AC093155.1,11.821
GIMAP2,430.624
MTND1P24,2.0
RNU6-1082P,15.0
TCEA1P4,7.0
AL035078.1,223.12900000000002
PRSS54,5.0
AC003071.1,1.262
OR14J1,4131.816
AC107081.2,23.421
C16orf82,5.0
LRRC25,1246.687
DUXAP11,1.0
ZNF410,484.685
AP001029.1,2.0
AC036176.2,51.0
AL022323.3,666.7710000000001
AL121983.1,6.0
SP5,2.0
AC026688.1,7.044
AL096803.1,6.0
DUSP1,1347.0
TRBV21OR9-2,0.0
AC136475.3,72.0
AL049780.3,1.082
SYNC,1.0
AC007362.1,3.0
AL449212.1,12.102
ZSCAN10,36.46800000000001
ECI2,164.868
MIR4433B,19.0
SOCS5P5,6.0
AL121928.1,0.0
OR8X1P,4.0
AC133548.1,0.0
LINC01908,13.0
AC002472.2,3.803
ZYG11A,214.81099999999998
MIR5689HG,84.262
RECQL4,13.19
AL035460.1,0.0
RN7SL18P,60.167
TRIM37,277.77700000000004
RNU6-393P,10.718
AC138305.3,56.091
AC017015.1,7.0
AC068631.1,686.7600000000001
SLCO2B1,121.83999999999999
RNU6-899P,1.0
AC087521.1,18.868
AC068898.1,1.0
AC074387.1,19.0
ZNF630-AS1,10.0
AC011752.1,2.0
RACK1,2796.537
RPL12P18,19.0
FBXW11,1008.0000000000002
AC004830.1,2.0
WDR11,659.609
YBX1P5,2.0
PACRG,54.435
HNRNPLP1,9.801
FAM41C,699.384
MTND1P2,4.0
AC005086.4,104.675
CATSPERB,250.275
AC010451.3,0.0
U47924.2,10.466
AC080078.1,2.0
AL928742.1,4.0
AL049776.1,711.7739999999999
PSMD7,186.396
NIFKP2,3.0
AC118344.1,48.0
GAPDHP74,3.0
AC087664.2,13.0
C1orf127,113.156
AC107918.1,10.459000000000001
GNG14,0.0
MIR1302-5,0.0
OR4F1P,2.158
GSK3B,1964.9340000000002
NAP1L4,1108.608
AC090241.2,27.0
AC024579.1,1.0
AC005180.2,18.756
RPL23AP2,0.0
AL160408.6,5.0
AC009716.1,93.257
PAK3,133.23
IQCB2P,0.0
MEG8_1,0.0
